Division Number: 21
Division Date: 15/06/2016

Opposition Day: EU Membership

Aye Count: 257
Noes Count: 0

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","Aye",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","No Vote Recorded",""
"Nigel Adams","Conservative","Selby and Ainsty","No Vote Recorded",""
"Adam Afriyie","Conservative","Windsor","No Vote Recorded",""
"Tasmina Ahmed-Sheikh","Scottish National Party","Ochil and South Perthshire","Aye",""
"Peter Aldous","Conservative","Waveney","Aye",""
"Heidi Alexander","Labour","Lewisham East","Aye",""
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye",""
"Lucy Allan","Conservative","Telford","No Vote Recorded",""
"Heidi Allen","Conservative","South Cambridgeshire","No Vote Recorded",""
"Graham Allen","Labour","Nottingham North","Aye",""
"David Amess","Conservative","Southend West","No Vote Recorded",""
"David Anderson","Labour","Blaydon","Aye",""
"Stuart Andrew","Conservative","Pudsey","No Vote Recorded",""
"Edward Argar","Conservative","Charnwood","No Vote Recorded",""
"Richard Arkless","Scottish National Party","Dumfries and Galloway","Aye",""
"Jonathan Ashworth","Labour","Leicester South","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","No Vote Recorded",""
"Ian Austin","Labour","Dudley North","Aye",""
"Richard Bacon","Conservative","South Norfolk","No Vote Recorded",""
"Adrian Bailey","Labour","West Bromwich West","Aye",""
"Steve Baker","Conservative","Wycombe","No Vote Recorded",""
"Harriett Baldwin","Conservative","West Worcestershire","Aye",""
"Stephen Barclay","Conservative","North East Cambridgeshire","No Vote Recorded",""
"Hannah Bardell","Scottish National Party","Livingston","No Vote Recorded",""
"John Baron","Conservative","Basildon and Billericay","No Vote Recorded",""
"Kevin Barron","Labour","Rother Valley","Aye",""
"Gavin Barwell","Conservative","Croydon Central","Aye",""
"Guto Bebb","Conservative","Aberconwy","No Vote Recorded",""
"Margaret Beckett","Labour","Derby South","Aye",""
"Henry Bellingham","Conservative","North West Norfolk","No Vote Recorded",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Richard Benyon","Conservative","Newbury","No Vote Recorded",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","Aye",""
"Luciana Berger","Labour","Liverpool, Wavertree","No Vote Recorded",""
"Jake Berry","Conservative","Rossendale and Darwen","Aye",""
"Clive Betts","Labour","Sheffield South East","Aye",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","Aye",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","Aye",""
"Bob Blackman","Conservative","Harrow East","No Vote Recorded",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","Aye",""
"Roberta Blackman-Woods","Labour","City of Durham","No Vote Recorded",""
"Nicola Blackwood","Conservative","Life peer","Aye",""
"Tom Blenkinsop","Labour","Middlesbrough South and East Cleveland","Aye",""
"Paul Blomfield","Labour","Sheffield Central","No Vote Recorded",""
"Crispin Blunt","Conservative","Reigate","No Vote Recorded",""
"Nick Boles","Conservative","Grantham and Stamford","No Vote Recorded",""
"Peter Bone","Conservative","Wellingborough","No Vote Recorded",""
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye",""
"Ben Bradshaw","Labour","Exeter","Aye",""
"Mickey Brady","Sinn F?in","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No Vote Recorded",""
"Tom Brake","Liberal Democrat","Carshalton and Wallington","Aye",""
"Suella Fernandes","Conservative","Fareham","No Vote Recorded",""
"Kevin Brennan","Labour","Cardiff West","Aye",""
"Andrew Bridgen","Conservative","North West Leicestershire","No Vote Recorded",""
"Steve Brine","Conservative","Winchester","No Vote Recorded",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","Aye",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No Vote Recorded",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No Vote Recorded",""
"Lyn Brown","Labour","West Ham","Aye",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Fiona Bruce","Conservative","Congleton","No Vote Recorded",""
"Chris Bryant","Labour","Rhondda","Aye",""
"Karen Buck","Labour","Westminster North","Aye",""
"Robert Buckland","Conservative","South Swindon","No Vote Recorded",""
"Richard Burden","Labour","Birmingham, Northfield","Aye",""
"Richard Burgon","Labour","Leeds East","No Vote Recorded",""
"Conor Burns","Conservative","Bournemouth West","No Vote Recorded",""
"Alistair Burt","Conservative","North East Bedfordshire","No Vote Recorded",""
"Dawn Butler","Labour","Brent Central","No Vote Recorded",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye",""
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye",""
"Alun Cairns","Conservative","Vale of Glamorgan","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","Aye",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No Vote Recorded",""
"Ronnie Campbell","Labour","Blyth Valley","No Vote Recorded",""
"Alan Campbell","Labour","Tynemouth","Teller - Noes",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","No Vote Recorded",""
"Neil Carmichael","Conservative","Stroud","Aye",""
"James Cartlidge","Conservative","South Suffolk","Aye",""
"William Cash","Conservative","Stone","No Vote Recorded",""
"Maria Caulfield","Conservative","Lewes","No Vote Recorded",""
"Alex Chalk","Conservative","Cheltenham","Aye",""
