Division Number: 38
Division Date: 11/07/2016

Wales Bill (committee): Amendment 123

Aye Count: 210
Noes Count: 270

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Diane Abbott","Labour","Hackney North and Stoke Newington","No Vote Recorded",""
"Debbie Abrahams","Labour","Oldham East and Saddleworth","Aye",""
"Nigel Adams","Conservative","Selby and Ainsty","No",""
"Adam Afriyie","Conservative","Windsor","No",""
"Tasmina Ahmed-Sheikh","Scottish National Party","Ochil and South Perthshire","Aye",""
"Peter Aldous","Conservative","Waveney","No",""
"Heidi Alexander","Labour","Lewisham East","Aye",""
"Rushanara Ali","Labour","Bethnal Green and Bow","Aye",""
"Lucy Allan","Conservative","Telford","No",""
"Heidi Allen","Conservative","South Cambridgeshire","No",""
"Graham Allen","Labour","Nottingham North","Aye",""
"Rosena Allin-Khan","Labour","Tooting","Aye",""
"David Amess","Conservative","Southend West","No",""
"Stuart Andrew","Conservative","Pudsey","No",""
"Edward Argar","Conservative","Charnwood","No",""
"Richard Arkless","Scottish National Party","Dumfries and Galloway","Aye",""
"Jonathan Ashworth","Labour","Leicester South","Aye",""
"Victoria Atkins","Conservative","Louth and Horncastle","No",""
"Ian Austin","Labour","Dudley North","No Vote Recorded",""
"Richard Bacon","Conservative","South Norfolk","No Vote Recorded",""
"Adrian Bailey","Labour","West Bromwich West","Aye",""
"Steve Baker","Conservative","Wycombe","No",""
"Harriett Baldwin","Conservative","West Worcestershire","No",""
"Stephen Barclay","Conservative","North East Cambridgeshire","No",""
"Hannah Bardell","Scottish National Party","Livingston","Aye",""
"John Baron","Conservative","Basildon and Billericay","No Vote Recorded",""
"Kevin Barron","Labour","Rother Valley","Aye",""
"Gavin Barwell","Conservative","Croydon Central","No",""
"Guto Bebb","Conservative","Aberconwy","No",""
"Margaret Beckett","Labour","Derby South","Aye",""
"Henry Bellingham","Conservative","North West Norfolk","No",""
"Hilary Benn","Labour","Leeds Central","Aye",""
"Richard Benyon","Conservative","Newbury","No Vote Recorded",""
"John Bercow","Speaker","Buckingham","No Vote Recorded",""
"Paul Beresford","Conservative","Mole Valley","No",""
"Luciana Berger","Labour","Liverpool, Wavertree","No Vote Recorded",""
"Jake Berry","Conservative","Rossendale and Darwen","No",""
"James Berry","Conservative","Kingston and Surbiton","No",""
"Clive Betts","Labour","Sheffield South East","Aye",""
"Andrew Bingham","Conservative","High Peak","No",""
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","Aye",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","Aye",""
"Bob Blackman","Conservative","Harrow East","No",""
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Roberta Blackman-Woods","Labour","City of Durham","Aye",""
"Nicola Blackwood","Conservative","Life peer","No",""
"Tom Blenkinsop","Labour","Middlesbrough South and East Cleveland","Aye",""
"Paul Blomfield","Labour","Sheffield Central","Aye",""
"Crispin Blunt","Conservative","Reigate","No Vote Recorded",""
"Nick Boles","Conservative","Grantham and Stamford","No",""
"Peter Bone","Conservative","Wellingborough","No",""
"Philip Boswell","Scottish National Party","Coatbridge, Chryston and Bellshill","Aye",""
"Peter Bottomley","Conservative","Worthing West","No",""
"Karen Bradley","Conservative","Staffordshire Moorlands","No",""
"Ben Bradshaw","Labour","Exeter","Aye",""
"Mickey Brady","Sinn F?in","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","No Vote Recorded",""
"Tom Brake","Liberal Democrat","Carshalton and Wallington","No Vote Recorded",""
"Suella Fernandes","Conservative","Fareham","No",""
"Julian Brazier","Conservative","Canterbury","No",""
"Kevin Brennan","Labour","Cardiff West","Aye",""
"Andrew Bridgen","Conservative","North West Leicestershire","No",""
"Steve Brine","Conservative","Winchester","No",""
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","Aye",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","No",""
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","Aye",""
"Lyn Brown","Labour","West Ham","No Vote Recorded",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","Aye",""
"Fiona Bruce","Conservative","Congleton","No",""
"Chris Bryant","Labour","Rhondda","Aye",""
"Karen Buck","Labour","Westminster North","Aye",""
"Robert Buckland","Conservative","South Swindon","No",""
"Richard Burden","Labour","Birmingham, Northfield","No Vote Recorded",""
"Richard Burgon","Labour","Leeds East","Aye",""
"Conor Burns","Conservative","Bournemouth West","No",""
"Simon Burns","Conservative","Chelmsford","No",""
"Alistair Burt","Conservative","North East Bedfordshire","No",""
"Dawn Butler","Labour","Brent Central","Aye",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","Aye",""
"Ruth Cadbury","Labour","Brentford and Isleworth","Aye",""
"Alun Cairns","Conservative","Vale of Glamorgan","No",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","Aye",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","No Vote Recorded",""
"Ronnie Campbell","Labour","Blyth Valley","No Vote Recorded",""
"Alan Campbell","Labour","Tynemouth","Aye",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","No Vote Recorded",""
"Neil Carmichael","Conservative","Stroud","No",""
"James Cartlidge","Conservative","South Suffolk","No",""
"William Cash","Conservative","Stone","No Vote Recorded",""
"Maria Caulfield","Conservative","Lewes","No",""
"Alex Chalk","Conservative","Cheltenham","No",""
"Sarah Champion","Labour","Rotherham","Aye",""
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Jenny Chapman","Labour","Darlington","Aye",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","Aye",""
"Rehman Chishti","Conservative","Gillingham and Rainham","No",""
"Christopher Chope","Conservative","Christchurch","No",""
"Jo Churchill","Conservative","Bury St Edmunds","No",""
"Greg Clark","Conservative","Tunbridge Wells","No",""
"Kenneth Clarke","Conservative","Rushcliffe","No",""
"James Cleverly","Conservative","Braintree","No",""
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No",""
"Ann Clwyd","Labour","Cynon Valley","Aye",""
"Vernon Coaker","Labour","Gedling","No Vote Recorded",""
"Ann Coffey","Labour","Stockport","No Vote Recorded",""
"Th?r?se Coffey","Conservative","Suffolk Coastal","No",""
"Damian Collins","Conservative","Folkestone and Hythe","No Vote Recorded",""
"Oliver Colvile","Conservative","Plymouth, Sutton and Devonport","No",""
"Julie Cooper","Labour","Burnley","Aye",""
"Rosie Cooper","Labour","West Lancashire","Aye",""
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","Aye",""
"Jeremy Corbyn","Labour","Islington North","Aye",""
"Alberto Costa","Conservative","South Leicestershire","No",""
"Ronnie Cowan","Scottish National Party","Inverclyde","Aye",""
"Geoffrey Cox","Conservative","Torridge and West Devon","No Vote Recorded",""
"Neil Coyle","Labour","Bermondsey and Old Southwark","Aye",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No Vote Recorded",""
"David Crausby","Labour","Bolton North East","No Vote Recorded",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No Vote Recorded",""
"Mary Creagh","Labour","Wakefield","Aye",""
"Stella Creasy","Labour","Walthamstow","Aye",""
"Tracey Crouch","Conservative","Chatham and Aylesford","No",""
"Jon Cruddas","Labour","Dagenham and Rainham","Aye",""
"John Cryer","Labour","Leyton and Wanstead","Aye",""
"Judith Cummins","Labour","Bradford South","No Vote Recorded",""
"Alex Cunningham","Labour","Stockton North","Aye",""
"Jim Cunningham","Labour","Coventry South","Aye",""
"Nic Dakin","Labour","Scunthorpe","Aye",""
"Simon Danczuk","Independent","Rochdale","Aye",""
"Wayne David","Labour","Caerphilly","Aye",""
"Byron Davies","Conservative","Gower","No",""
"Chris Davies","Conservative","Brecon and Radnorshire","No",""
"David T. C. Davies","Conservative","Monmouth","No",""
"James Davies","Conservative","Vale of Clwyd","No",""
"Geraint Davies","Labour","Swansea West","No Vote Recorded",""
"Glyn Davies","Conservative","Montgomeryshire","No",""
"Mims Davies","Conservative","Eastleigh","No Vote Recorded",""
"Philip Davies","Conservative","Shipley","No Vote Recorded",""
"David Davis","Conservative","Haltemprice and Howden","No",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","Aye",""
"Gloria De Piero","Labour","Ashfield","No Vote Recorded",""
"Thangam Debbonaire","Labour","Bristol West","No Vote Recorded",""
"Caroline Dinenage","Conservative","Gosport","No",""
"Jonathan Djanogly","Conservative","Huntingdon","No",""
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","Aye",""
"Nigel Dodds","Democratic Unionist Party","Belfast North","No Vote Recorded",""
"Jeffrey M. Donaldson","Democratic Unionist Party","Lagan Valley","No Vote Recorded",""
"Stuart Blair Donaldson","Scottish National Party","West Aberdeenshire and Kincardine","Aye",""
"Michelle Donelan","Conservative","Chippenham","No",""
"Nadine Dorries","Conservative","Mid Bedfordshire","No Vote Recorded",""
"Steve Double","Conservative","St Austell and Newquay","No",""
"Stephen Doughty","Labour","Cardiff South and Penarth","Aye",""
"Jim Dowd","Labour","Lewisham West and Penge","Aye",""
"Peter Dowd","Labour","Bootle","Aye",""
"Oliver Dowden","Conservative","Hertsmere","No",""
"Jackie Doyle-Price","Conservative","Thurrock","No",""
"Richard Drax","Conservative","South Dorset","No",""
"Jack Dromey","Labour","Birmingham, Erdington","Aye",""
"Flick Drummond","Conservative","Portsmouth South","No",""
"James Duddridge","Conservative","Rochford and Southend East","No Vote Recorded",""
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","No",""
"Alan Duncan","Conservative","Rutland and Melton","No",""
"Philip Dunne","Conservative","Ludlow","No",""
"Mark Durkan","Social Democratic & Labour Party","Foyle","Aye",""
"Maria Eagle","Labour","Garston and Halewood","No Vote Recorded",""
"Angela Eagle","Labour","Wallasey","No Vote Recorded",""
"Jonathan Edwards","Plaid Cymru","Carmarthen East and Dinefwr","Aye",""
"Clive Efford","Labour","Eltham","Aye",""
"Julie Elliott","Labour","Sunderland Central","Aye",""
"Michael Ellis","Conservative","Northampton North","No",""
"Jane Ellison","Conservative","Battersea","No",""
"Louise Ellman","Labour","Liverpool, Riverside","Aye",""
"Tobias Ellwood","Conservative","Bournemouth East","No",""
"Chris Elmore","Labour","Ogmore","Aye",""
"Charlie Elphicke","Conservative","Dover","No",""
"Bill Esterson","Labour","Sefton Central","Aye",""
"George Eustice","Conservative","Camborne and Redruth","No",""
"Chris Evans","Labour","Islwyn","Aye",""
"Graham Evans","Conservative","Weaver Vale","No",""
"Nigel Evans","Conservative","Ribble Valley","No",""
"David Evennett","Conservative","Bexleyheath and Crayford","No",""
"Michael Fabricant","Conservative","Lichfield","No Vote Recorded",""
"Michael Fallon","Conservative","Sevenoaks","No Vote Recorded",""
"Paul Farrelly","Labour","Newcastle-under-Lyme","No Vote Recorded",""
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","No Vote Recorded",""
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","Aye",""
"Margaret Ferrier","Scottish National Party","Rutherglen and Hamilton West","Aye",""
"Frank Field","Labour","Birkenhead","No Vote Recorded",""
"Mark Field","Conservative","Cities of London and Westminster","No",""
"Jim Fitzpatrick","Labour","Poplar and Limehouse","Aye",""
"Robert Flello","Labour","Stoke-on-Trent South","Aye",""
"Colleen Fletcher","Labour","Coventry North East","Aye",""
"Caroline Flint","Labour","Don Valley","No Vote Recorded",""
"Paul Flynn","Labour","Newport West","Aye",""
"Kevin Foster","Conservative","Torbay","No",""
"Yvonne Fovargue","Labour","Makerfield","Aye",""
"Liam Fox","Conservative","North Somerset","No Vote Recorded",""
